SAMPLE_ID	Type	setClass
A255_RNA_T	Tumor	GIS
A144_RNA_T	Tumor	GIS
A307_RNA_T	Tumor	GIS
A015_RNA_T	Tumor	GIS
A504_RNA_T	Tumor	GIS
A194_RNA_T	Tumor	GIS
A503_RNA_T	Tumor	GIS
A190_RNA_T	Tumor	GIS
A191_RNA_T	Tumor	GIS
A538_RNA_T	Tumor	GIS
A510_RNA_T	Tumor	GIS
A534_RNA_T	Tumor	GIS
A192_RNA_T	Tumor	GIS
A512_RNA_T	Tumor	GIS
A521_RNA_T	Tumor	GIS
A514_RNA_T	Tumor	GIS
A243_RNA_T	Tumor	GIS
A428_RNA_T	Tumor	GIS
A517_RNA_T	Tumor	GIS
A426_RNA_T	Tumor	GIS
A323_RNA_T	Tumor	GIS
A260_RNA_T	Tumor	GIS
A434_RNA_T	Tumor	GIS
A432_RNA_T	Tumor	GIS
A377_RNA_T	Tumor	GIS
A209_RNA_T	Tumor	GIS
A316_RNA_T	Tumor	GIS
A310_RNA_T	Tumor	GIS
A375_RNA_T	Tumor	GIS
A239_RNA_T	Tumor	GIS
A241_RNA_T	Tumor	GIS
A511_RNA_T	Tumor	GIS
A315_RNA_T	Tumor	GIS
A186_RNA_T	Tumor	GIS
A493_RNA_T	Tumor	GIS
A249_RNA_T	Tumor	GIS
A252_RNA_T	Tumor	GIS
A233_RNA_T	Tumor	GIS
A380_RNA_T	Tumor	GIS
A488_RNA_T	Tumor	GIS
A182_RNA_T	Tumor	GIS
A162_RNA_T	Tumor	GIS
A165_RNA_T	Tumor	GIS
A138_RNA_T	Tumor	GIS
A153_RNA_T	Tumor	GIS
A156_RNA_T	Tumor	GIS
A117_RNA_T	Tumor	GIS
A134_RNA_T	Tumor	GIS
A028_RNA_T	Tumor	GIS
A120_RNA_T	Tumor	GIS
A104_RNA_T	Tumor	GIS
A111_RNA_T	Tumor	GIS
A100_RNA_T	Tumor	GIS
A112_RNA_T	Tumor	GIS
A102_RNA_T	Tumor	GIS
A101_RNA_T	Tumor	GIS
A066_RNA_T	Tumor	GIS
A068_RNA_T	Tumor	GIS
A063_RNA_T	Tumor	GIS
A072_RNA_T	Tumor	GIS
A062_RNA_T	Tumor	GIS
A272_RNA_T	Tumor	GIS
A033_RNA_T	Tumor	GIS
A021_RNA_T	Tumor	GIS
A037_RNA_T	Tumor	GIS
A027_RNA_T	Tumor	GIS
A262_RNA_T	Tumor	GIS
A266_RNA_T	Tumor	GIS
A268_RNA_T	Tumor	GIS
A006_RNA_T	Tumor	GIS
A269_RNA_T	Tumor	GIS
A270_RNA_T	Tumor	GIS
A276_RNA_T	Tumor	GIS
A283_RNA_T	Tumor	GIS
A282_RNA_T	Tumor	GIS
A486_RNA_T	Tumor	GIS
A284_RNA_T	Tumor	GIS
A285_RNA_T	Tumor	GIS
A281_RNA_T	Tumor	GIS
A205_RNA_T	Tumor	GIS
A278_RNA_T	Tumor	GIS
A274_RNA_T	Tumor	GIS
A277_RNA_T	Tumor	GIS
A275_RNA_T	Tumor	GIS
A273_RNA_T	Tumor	GIS
A259_RNA_T	Tumor	GIS
A222_RNA_T	Tumor	GIS
A496_RNA_T	Tumor	GIS
A221_RNA_T	Tumor	GIS
A490_RNA_T	Tumor	GIS
A500_RNA_T	Tumor	GIS
A219_RNA_T	Tumor	GIS
A217_RNA_T	Tumor	GIS
A215_RNA_T	Tumor	GIS
A202_RNA_T	Tumor	GIS
A203_RNA_T	Tumor	GIS
A204_RNA_T	Tumor	GIS
A206_RNA_T	Tumor	GIS
A207_RNA_T	Tumor	GIS
A212_RNA_T	Tumor	GIS
A483_RNA_T	Tumor	GIS
A484_RNA_T	Tumor	GIS
